"day","year","Adoxophyes_honmai"
263,1982,165
268,1982,62
273,1982,94
278,1982,26
283,1982,14
288,1982,85
293,1982,54
298,1982,38
303,1982,38
309,1982,43
314,1982,110
319,1982,29
324,1982,18
329,1982,10
334,1982,3
64,1983,0
69,1983,1
74,1983,1
79,1983,0
84,1983,26
89,1983,11
95,1983,8
100,1983,78
105,1983,25
110,1983,37
115,1983,105
120,1983,60
125,1983,29
130,1983,9
135,1983,2
140,1983,2
145,1983,2
150,1983,17
156,1983,33
161,1983,151
166,1983,55
171,1983,235
176,1983,99
181,1983,18
186,1983,8
191,1983,3
196,1983,4
201,1983,40
206,1983,209
211,1983,543
217,1983,242
222,1983,37
227,1983,5
232,1983,17
237,1983,6
242,1983,260
248,1983,127
253,1983,42
258,1983,26
263,1983,0
268,1983,9
273,1983,16
278,1983,7
283,1983,22
288,1983,72
293,1983,61
298,1983,8
303,1983,10
309,1983,1
314,1983,3
319,1983,0
324,1983,2
329,1983,1
334,1983,0
64,1984,0
69,1984,0
74,1984,0
79,1984,0
84,1984,0
89,1984,0
95,1984,0
100,1984,0
105,1984,0
110,1984,1
115,1984,5
120,1984,13
125,1984,38
130,1984,130
135,1984,128
140,1984,17
145,1984,9
150,1984,0
156,1984,0
161,1984,2
166,1984,31
171,1984,272
176,1984,363
181,1984,363
186,1984,114
191,1984,10
196,1984,2
201,1984,26
206,1984,138
211,1984,133
217,1984,230
222,1984,41
227,1984,15
232,1984,2
237,1984,18
242,1984,12
248,1984,21
253,1984,13
258,1984,30
263,1984,182
268,1984,115
273,1984,96
278,1984,79
283,1984,19
288,1984,13
293,1984,4
298,1984,15
303,1984,15
309,1984,26
314,1984,24
319,1984,78
324,1984,80
329,1984,31
334,1984,12
64,1985,3
69,1985,1
74,1985,0
79,1985,7
84,1985,4
89,1985,12
95,1985,3
100,1985,116
105,1985,74
110,1985,61
115,1985,159
120,1985,23
125,1985,100
130,1985,8
135,1985,4
140,1985,2
145,1985,1
150,1985,176
156,1985,1837
161,1985,2550
166,1985,1020
171,1985,1029
176,1985,263
181,1985,16
186,1985,5
191,1985,469
196,1985,2226
201,1985,2272
206,1985,747
211,1985,48
217,1985,4
222,1985,5
227,1985,83
232,1985,589
237,1985,1660
242,1985,161
248,1985,148
253,1985,49
258,1985,20
263,1985,18
268,1985,29
273,1985,47
278,1985,171
283,1985,74
288,1985,55
293,1985,97
298,1985,38
303,1985,36
309,1985,9
314,1985,10
319,1985,0
324,1985,3
329,1985,5
334,1985,0
64,1986,0
69,1986,0
74,1986,0
79,1986,1
84,1986,0
89,1986,1
95,1986,1
100,1986,12
105,1986,9
110,1986,89
115,1986,217
120,1986,170
125,1986,289
130,1986,64
135,1986,56
140,1986,11
145,1986,0
150,1986,0
156,1986,6
161,1986,30
166,1986,117
171,1986,882
176,1986,332
181,1986,184
186,1986,16
191,1986,34
196,1986,7
201,1986,40
206,1986,163
211,1986,134
217,1986,75
222,1986,22
227,1986,16
232,1986,10
237,1986,6
242,1986,9
248,1986,26
253,1986,52
258,1986,52
263,1986,50
268,1986,10
273,1986,11
278,1986,9
283,1986,4
288,1986,2
293,1986,0
298,1986,12
303,1986,7
309,1986,9
314,1986,12
319,1986,27
324,1986,3
329,1986,16
334,1986,1
64,1987,0
69,1987,1
74,1987,5
79,1987,6
84,1987,10
89,1987,1
95,1987,0
100,1987,41
105,1987,0
110,1987,3
115,1987,32
120,1987,32
125,1987,28
130,1987,12
135,1987,18
140,1987,2
145,1987,3
150,1987,2
156,1987,42
161,1987,159
166,1987,146
171,1987,167
176,1987,57
181,1987,28
186,1987,27
191,1987,14
196,1987,13
201,1987,92
206,1987,125
211,1987,153
217,1987,85
222,1987,6
227,1987,9
232,1987,33
237,1987,210
242,1987,397
248,1987,192
253,1987,120
258,1987,221
263,1987,14
268,1987,20
273,1987,9
278,1987,24
283,1987,58
288,1987,144
293,1987,269
298,1987,308
303,1987,238
309,1987,68
314,1987,8
319,1987,46
324,1987,22
329,1987,8
334,1987,7
64,1988,0
69,1988,0
74,1988,5
79,1988,0
84,1988,9
89,1988,21
95,1988,15
100,1988,0
105,1988,9
110,1988,67
115,1988,0
120,1988,198
125,1988,153
130,1988,7
135,1988,7
140,1988,0
145,1988,0
150,1988,7
156,1988,31
161,1988,351
166,1988,432
171,1988,449
176,1988,258
181,1988,70
186,1988,10
191,1988,3
196,1988,61
201,1988,344
206,1988,435
211,1988,576
217,1988,142
222,1988,15
227,1988,25
232,1988,23
237,1988,170
242,1988,440
248,1988,251
253,1988,126
258,1988,126
263,1988,108
268,1988,49
273,1988,17
278,1988,28
283,1988,9
288,1988,1
293,1988,60
298,1988,78
303,1988,18
309,1988,1
314,1988,35
319,1988,9
324,1988,46
329,1988,0
334,1988,0
64,1989,0
69,1989,0
74,1989,33
79,1989,2
84,1989,0
89,1989,6
95,1989,79
100,1989,43
105,1989,22
110,1989,36
115,1989,135
120,1989,65
125,1989,59
130,1989,26
135,1989,2
140,1989,0
145,1989,10
150,1989,10
156,1989,91
161,1989,228
166,1989,335
171,1989,261
176,1989,194
181,1989,41
186,1989,5
191,1989,15
196,1989,81
201,1989,384
206,1989,492
211,1989,169
217,1989,88
222,1989,24
227,1989,9
232,1989,6
237,1989,64
242,1989,565
248,1989,462
253,1989,425
258,1989,145
263,1989,85
268,1989,78
273,1989,20
278,1989,14
283,1989,21
288,1989,286
293,1989,83
298,1989,597
303,1989,221
309,1989,406
314,1989,525
319,1989,79
324,1989,17
329,1989,19
334,1989,5
64,1990,1
69,1990,0
74,1990,19
79,1990,0
84,1990,118
89,1990,30
95,1990,12
100,1990,0
105,1990,3
110,1990,29
115,1990,94
120,1990,120
125,1990,17
130,1990,10
135,1990,6
140,1990,0
145,1990,0
150,1990,6
156,1990,158
161,1990,401
166,1990,217
171,1990,347
176,1990,44
181,1990,22
186,1990,3
191,1990,5
196,1990,30
201,1990,420
206,1990,346
211,1990,68
217,1990,20
222,1990,13
227,1990,1
232,1990,6
237,1990,117
242,1990,35
248,1990,129
253,1990,36
258,1990,20
263,1990,4
268,1990,3
273,1990,10
278,1990,6
283,1990,3
288,1990,43
293,1990,12
298,1990,25
303,1990,10
309,1990,8
314,1990,7
319,1990,0
324,1990,3
329,1990,0
334,1990,0
64,1991,1
69,1991,0
74,1991,1
79,1991,0
84,1991,4
89,1991,17
95,1991,NA
100,1991,NA
105,1991,NA
110,1991,NA
115,1991,NA
120,1991,NA
125,1991,NA
130,1991,NA
135,1991,NA
140,1991,NA
145,1991,NA
150,1991,NA
156,1991,50
161,1991,276
166,1991,184
171,1991,163
176,1991,7
181,1991,10
186,1991,5
191,1991,43
196,1991,102
201,1991,234
206,1991,183
211,1991,57
217,1991,56
222,1991,5
227,1991,10
232,1991,27
237,1991,185
242,1991,627
248,1991,205
253,1991,96
258,1991,5
263,1991,7
268,1991,8
273,1991,163
278,1991,164
283,1991,176
288,1991,33
293,1991,33
298,1991,5
303,1991,7
309,1991,2
314,1991,1
319,1991,0
324,1991,0
329,1991,6
334,1991,3
64,1992,1
69,1992,2
74,1992,12
79,1992,11
84,1992,23
89,1992,80
95,1992,8
100,1992,25
105,1992,1
110,1992,6
115,1992,77
120,1992,35
125,1992,25
130,1992,2
135,1992,3
140,1992,1
145,1992,0
150,1992,37
156,1992,114
161,1992,192
166,1992,461
171,1992,342
176,1992,284
181,1992,7
186,1992,32
191,1992,8
196,1992,3
201,1992,115
206,1992,503
211,1992,99
217,1992,12
222,1992,18
227,1992,5
232,1992,18
237,1992,4
242,1992,4
248,1992,11
253,1992,29
258,1992,1
263,1992,12
268,1992,3
273,1992,2
278,1992,6
283,1992,6
288,1992,7
293,1992,3
298,1992,0
303,1992,1
309,1992,2
314,1992,1
319,1992,0
324,1992,2
329,1992,0
334,1992,2
64,1993,0
69,1993,0
74,1993,0
79,1993,0
84,1993,2
89,1993,0
95,1993,2
100,1993,0
105,1993,0
110,1993,1
115,1993,13
120,1993,28
125,1993,15
130,1993,6
135,1993,27
140,1993,2
145,1993,4
150,1993,2
156,1993,2
161,1993,59
166,1993,95
171,1993,203
176,1993,144
181,1993,123
186,1993,31
191,1993,11
196,1993,4
201,1993,23
206,1993,133
211,1993,115
217,1993,233
222,1993,29
227,1993,12
232,1993,28
237,1993,19
242,1993,92
248,1993,34
253,1993,215
258,1993,182
263,1993,251
268,1993,78
273,1993,20
278,1993,5
283,1993,5
288,1993,20
293,1993,3
298,1993,5
303,1993,31
309,1993,76
314,1993,32
319,1993,15
324,1993,43
329,1993,0
334,1993,16
